% Model,model_final_mb_another.mph
% Version,COMSOL 6.1.0.252
% Date,"Jul 27 2023, 01:29"
% Table,Table 7 - Global Evaluation 1
% lambda0 (nm),Extinction cross section (m^2)
600,1.683292784386108E-13
608.4745762711865,1.9256066772963119E-13
616.9491525423729,2.1791754102776293E-13
625.4237288135594,2.427981099177342E-13
633.8983050847457,2.6599204262164166E-13
642.3728813559322,2.8476123451868875E-13
650.8474576271186,2.954720303902524E-13
659.3220338983051,2.94340233284489E-13
667.7966101694915,2.7791519346813946E-13
676.271186440678,2.4820804954464025E-13
684.7457627118645,2.094182452651619E-13
693.2203389830509,1.6772318136427102E-13
701.6949152542371,1.2919727521977754E-13
710.1694915254236,9.833932680655029E-14
718.6440677966102,7.748008560029806E-14
727.1186440677965,6.735310789139477E-14
735.593220338983,6.774111001065398E-14
744.0677966101694,7.776324488344702E-14
752.5423728813558,9.588543658219559E-14
761.0169491525422,1.197187821056044E-13
769.4915254237287,1.4597541360524803E-13
777.9661016949152,1.7075759845351955E-13
786.4406779661016,1.903412185504419E-13
794.915254237288,2.0221843810854609E-13
803.3898305084745,2.0571377019544616E-13
811.864406779661,2.0182008906865715E-13
820.3389830508473,1.9247390497834539E-13
828.8135593220338,1.7979273173637306E-13
837.2881355932202,1.6553768013869627E-13
845.7627118644067,1.509776345978485E-13
854.2372881355931,1.369130342300096E-13
862.7118644067796,1.2378503346545515E-13
871.1864406779661,1.1179155325890688E-13
879.6610169491524,1.0098012551281888E-13
888.1355932203388,9.13133267244611E-14
896.6101694915253,8.269919085637265E-14
905.0847457627118,7.504729392800184E-14
913.5593220338982,6.826202973776527E-14
922.0338983050847,6.224175055461965E-14
930.5084745762712,5.689334307039137E-14
938.9830508474575,5.2133506649642853E-14
947.4576271186439,4.788879852411623E-14
955.9322033898305,4.409502493389263E-14
964.4067796610169,4.0696391987577724E-14
972.8813559322033,3.7644304777261954E-14
981.3559322033897,3.48972868940065E-14
989.8305084745763,3.2417559306855854E-14
998.3050847457627,3.0174087696293065E-14
1006.779661016949,2.8140869152341557E-14
1015.2542372881356,2.6293293250063004E-14
1023.728813559322,2.461117916070743E-14
1032.2033898305085,2.3076253189284363E-14
1040.677966101695,2.1672754321129526E-14
1049.1525423728813,2.0386907836763225E-14
1057.6271186440679,1.9206321460827386E-14
1066.1016949152543,1.8120637840407177E-14
1074.5762711864406,1.7119917928684648E-14
1083.0508474576272,1.6196176772610996E-14
1091.5254237288136,1.534139988411813E-14
1100,1.4549038477395426E-14
