% Model,model_final_mb.mph
% Version,COMSOL 6.1.0.282
% Date,"Jun 5 2023, 03:13"
% Table,SIgmaExt-129 - Global Evaluation 1
% r0 (nm),lambda0 (nm),Extinction cross section (m^2)
129,600,3.2120929857950254E-13
129,605,2.951668814168306E-13
129,610,2.852382147401715E-13
129,615,2.764177397079357E-13
129,619.9999999999999,2.625317685276081E-13
129,625,2.4328433140950265E-13
129,629.9999999999999,2.2038008879116304E-13
129,635,1.956873180388205E-13
129,639.9999999999999,1.7080149214471586E-13
129,645,1.4690042594987656E-13
129,650,1.2480067752531637E-13
129,655,1.0506994760722394E-13
129,660,8.810213586670951E-14
129,665,7.413343343899486E-14
129,670,6.344228181217797E-14
129,674.9999999999999,5.612991754621015E-14
129,680,5.2242756745671265E-14
129,684.9999999999999,5.1809220691476106E-14
129,690,5.4886580313991326E-14
129,694.9999999999999,6.161129929236723E-14
129,700,7.224415411519215E-14
129,704.9999999999999,8.722782476037976E-14
129,710,1.0736127964835505E-13
129,715,1.342914580534392E-13
129,720,1.723842155551327E-13
129,725,2.3938953171246695E-13
129,729.9999999999999,3.255741034262706E-13
129,735,5.701409689431998E-13
129,739.9999999999999,2.4671515477245127E-13
129,745,1.9353931902742952E-13
129,749.9999999999999,2.2011330513195953E-13
129,755,2.551610976340038E-13
129,759.9999999999999,2.9213291799998524E-13
129,765,3.3025944157715777E-13
129,770,3.69624391358948E-13
129,775,4.104445625865243E-13
129,780,4.5293335510970117E-13
129,784.9999999999999,4.972748357057676E-13
129,790,5.436135759915086E-13
129,794.9999999999999,5.920426585544182E-13
129,800,6.425909574343118E-13
129,804.9999999999999,6.952091423977812E-13
129,810,7.497305550953439E-13
129,814.9999999999999,8.05854263643103E-13
129,820,8.630788703659172E-13
129,825,9.206626546109807E-13
129,830,9.776112855555188E-13
129,835,1.032569319665554E-12
129,839.9999999999999,1.08383451610337E-12
129,845,1.1293488683639813E-12
129,849.9999999999999,1.1667529866974423E-12
129,855,1.1935534092678524E-12
129,859.9999999999999,1.2073319559258403E-12
129,865,1.2060585958542752E-12
129,869.9999999999999,1.1884663735502313E-12
129,875,1.1543132708927068E-12
129,879.9999999999999,1.1045693256495188E-12
129,885,1.0414155244333947E-12
129,890,9.67964190688551E-13
129,894.9999999999999,8.879296530696565E-13
129,900,8.051688430012701E-13
129,904.9999999999999,7.230905352678539E-13
129,910,6.445265303505075E-13
129,914.9999999999999,5.715802983685075E-13
129,920,5.056693025243652E-13
129,924.9999999999999,4.4757163716887423E-13
129,930,3.975997286915021E-13
129,934.9999999999999,3.556931809718667E-13
129,940,3.2156202738033384E-13
129,945,2.9478191990827513E-13
129,949.9999999999999,2.7486407885569324E-13
129,954.9999999999999,2.613092407290207E-13
129,960,2.536442102294669E-13
129,965,2.5143585882913453E-13
129,969.9999999999999,2.543101002245552E-13
129,974.9999999999999,2.619472801275383E-13
129,980,2.7408778487176874E-13
129,985,2.9053096799110286E-13
129,989.9999999999999,3.1113801672341193E-13
129,994.9999999999999,3.3581119774096505E-13
129,1000,3.645098825992157E-13
129,1005,3.9728618779575755E-13
129,1010,4.3431651056895475E-13
129,1014.9999999999999,4.760048805490569E-13
129,1019.9999999999999,5.231866437915251E-13
129,1025,5.775630987467226E-13
129,1030,6.425815533682721E-13
129,1035,7.250347870395705E-13
129,1039.9999999999998,8.360396136287918E-13
129,1045,9.773177460395267E-13
129,1050,1.0777867286776865E-12
129,1055,1.0394307741460513E-12
129,1060,9.52965146660419E-13
129,1064.9999999999998,8.982324571834822E-13
129,1070,8.711273249898532E-13
129,1075,8.566738074390033E-13
129,1080,8.459628779919441E-13
129,1084.9999999999998,8.346024893057105E-13
129,1090,8.205919213626187E-13
129,1095,8.032040091495023E-13
129,1100,7.824183315854916E-13
