% Model,model_final_mb_another.mph
% Version,COMSOL 6.1.0.252
% Date,"Jul 27 2023, 02:46"
% Table,Table 9 - Global Evaluation 1
% lambda0 (nm),Extinction cross section (m^2)
600,1.788671434811781E-13
608.4745762711865,1.6762931649540004E-13
616.9491525423729,1.5963564481649892E-13
625.4237288135594,1.4279385981111732E-13
633.8983050847457,1.2078434350454377E-13
642.3728813559322,9.778806299742108E-14
650.8474576271186,7.684249291289003E-14
659.3220338983051,5.974585625304096E-14
667.7966101694915,4.724818490983466E-14
676.271186440678,3.966638545269118E-14
684.7457627118645,3.6843528306681844E-14
693.2203389830509,3.875029787375234E-14
701.6949152542371,4.6090407538431986E-14
710.1694915254236,6.11388180893153E-14
718.6440677966102,8.987125393823512E-14
727.1186440677965,1.579315713614073E-13
735.593220338983,3.675436706757307E-13
744.0677966101694,1.0705218012100156E-13
752.5423728813558,1.1459208328264543E-13
761.0169491525422,1.4403757835071782E-13
769.4915254237287,1.7645382039449448E-13
777.9661016949152,2.1074844429892917E-13
786.4406779661016,2.4711740753429163E-13
794.915254237288,2.858331308811555E-13
803.3898305084745,3.270351409052826E-13
811.864406779661,3.7058886331623535E-13
820.3389830508473,4.1588573314532606E-13
828.8135593220338,4.615592415343412E-13
837.2881355932202,5.05129829235555E-13
845.7627118644067,5.426797774602449E-13
854.2372881355931,5.68876969491071E-13
862.7118644067796,5.77771213864657E-13
871.1864406779661,5.64651839900519E-13
879.6610169491524,5.284552387257116E-13
888.1355932203388,4.732005716158288E-13
896.6101694915253,4.070647259954924E-13
905.0847457627118,3.394092849439528E-13
913.5593220338982,2.7759298687845196E-13
922.0338983050847,2.2589713134683671E-13
930.5084745762712,1.858705972205361E-13
938.9830508474575,1.5727093410859186E-13
947.4576271186439,1.3900155393243582E-13
955.9322033898305,1.2973085856875107E-13
964.4067796610169,1.2820501140760093E-13
972.8813559322033,1.3338450369802312E-13
981.3559322033897,1.444529462458405E-13
989.8305084745763,1.607811796824291E-13
998.3050847457627,1.8182096703973936E-13
1006.779661016949,2.070114609324307E-13
1015.2542372881356,2.3567740118872374E-13
1023.728813559322,2.669019378273745E-13
1032.2033898305085,2.994215996425343E-13
1040.677966101695,3.3157545231864187E-13
1049.1525423728813,3.613558275433405E-13
1057.6271186440679,3.8659937151263403E-13
1066.1016949152543,4.0531415039388614E-13
1074.5762711864406,4.160560737887809E-13
1083.0508474576272,4.1823536603354487E-13
1091.5254237288136,4.1219908343848986E-13
1100,3.991069909679477E-13
